date,seconds,reference
2024-07-21,266,The Vice President
2024-07-22,410.641,The Vice President
2024-07-23,323,The Vice President
2024-07-24,295,The Vice President
2024-07-25,293,The Vice President
2024-07-26,343.833,The Vice President
2024-07-27,227,The Vice President
2024-07-28,211,The Vice President
2024-07-29,175,The Vice President
2024-07-30,185.98,The Vice President
2024-07-31,233,The Vice President
2024-08-01,222.38,The Vice President
2024-08-02,202,The Vice President
2024-08-03,197,The Vice President
2024-08-04,232.007,The Vice President
2024-08-05,197,The Vice President
2024-08-06,273.539,The Vice President
2024-08-07,195,The Vice President
2024-08-08,190,The Vice President
2024-08-09,141.682,The Vice President
2024-08-10,149.662,The Vice President
2024-08-11,134,The Vice President
2024-08-12,135.42,The Vice President
2024-08-13,93,The Vice President
2024-08-14,146,The Vice President
2024-08-15,184.164,The Vice President
2024-08-16,191,The Vice President
2024-08-17,112.003,The Vice President
2024-08-18,200.607,The Vice President
2024-08-19,191.055,The Vice President
2024-08-20,133,The Vice President
2024-08-21,110.771,The Vice President
2024-08-22,178.443,The Vice President
2024-08-23,246.916,The Vice President
2024-08-24,128,The Vice President
2024-08-25,123,The Vice President
2024-08-26,161,The Vice President
2024-08-27,153,The Vice President
2024-08-28,199,The Vice President
2024-08-29,299.587,The Vice President
2024-08-30,221,The Vice President
2024-08-31,128.057,The Vice President
2024-09-01,111.418,The Vice President
2024-09-02,151,The Vice President
2024-09-03,125.759,The Vice President
2024-09-04,91,The Vice President
2024-09-05,124.88,The Vice President
2024-09-06,104,The Vice President
2024-09-07,119.454,The Vice President
2024-09-08,214.125,The Vice President
2024-09-09,204.574,The Vice President
2024-09-10,294.701,The Vice President
2024-09-11,196,The Vice President
2024-09-12,157,The Vice President
2024-09-13,182,The Vice President
2024-09-14,142.792,The Vice President
2024-09-15,142,The Vice President
2024-09-16,103,The Vice President
2024-09-17,91,The Vice President
2024-09-18,101,The Vice President
2024-09-19,125.399,The Vice President
2024-09-20,196.179,The Vice President
2024-09-21,113,The Vice President
2024-09-22,75,The Vice President
2024-09-23,118,The Vice President
2024-09-24,110.797,The Vice President
2024-09-25,125,The Vice President
2024-09-26,83,The Vice President
2024-09-27,103,The Vice President
2024-09-28,112,The Vice President
2024-09-29,126,The Vice President
2024-09-30,108,The Vice President
2024-10-01,112,The Vice President
2024-10-02,150.291,The Vice President
2024-10-03,152,The Vice President
2024-10-04,87.274,The Vice President
2024-10-05,0,The Vice President
2024-07-21,374,Vice President Harris
2024-07-22,466.606,Vice President Harris
2024-07-23,409.573,Vice President Harris
2024-07-24,272.917,Vice President Harris
2024-07-25,297,Vice President Harris
2024-07-26,329,Vice President Harris
2024-07-27,265,Vice President Harris
2024-07-28,227,Vice President Harris
2024-07-29,222,Vice President Harris
2024-07-30,216,Vice President Harris
2024-07-31,231,Vice President Harris
2024-08-01,251,Vice President Harris
2024-08-02,191,Vice President Harris
2024-08-03,149,Vice President Harris
2024-08-04,156,Vice President Harris
2024-08-05,191.956,Vice President Harris
2024-08-06,285,Vice President Harris
2024-08-07,177,Vice President Harris
2024-08-08,177,Vice President Harris
2024-08-09,168,Vice President Harris
2024-08-10,146.89,Vice President Harris
2024-08-11,146.01,Vice President Harris
2024-08-12,146.94,Vice President Harris
2024-08-13,127,Vice President Harris
2024-08-14,185,Vice President Harris
2024-08-15,249.527,Vice President Harris
2024-08-16,201,Vice President Harris
2024-08-17,175.641,Vice President Harris
2024-08-18,289,Vice President Harris
2024-08-19,276,Vice President Harris
2024-08-20,207,Vice President Harris
2024-08-21,190,Vice President Harris
2024-08-22,199,Vice President Harris
2024-08-23,236,Vice President Harris
2024-08-24,144,Vice President Harris
2024-08-25,123,Vice President Harris
2024-08-26,147,Vice President Harris
2024-08-27,135,Vice President Harris
2024-08-28,186,Vice President Harris
2024-08-29,178,Vice President Harris
2024-08-30,200.602,Vice President Harris
2024-08-31,113,Vice President Harris
2024-09-01,171,Vice President Harris
2024-09-02,287.663,Vice President Harris
2024-09-03,212.329,Vice President Harris
2024-09-04,113.743,Vice President Harris
2024-09-05,94,Vice President Harris
2024-09-06,99.644,Vice President Harris
2024-09-07,110,Vice President Harris
2024-09-08,137,Vice President Harris
2024-09-09,190,Vice President Harris
2024-09-10,335,Vice President Harris
2024-09-11,363.82,Vice President Harris
2024-09-12,146.003,Vice President Harris
2024-09-13,151,Vice President Harris
2024-09-14,125,Vice President Harris
2024-09-15,113,Vice President Harris
2024-09-16,103,Vice President Harris
2024-09-17,110,Vice President Harris
2024-09-18,127,Vice President Harris
2024-09-19,115,Vice President Harris
2024-09-20,130,Vice President Harris
2024-09-21,90,Vice President Harris
2024-09-22,108.682,Vice President Harris
2024-09-23,142,Vice President Harris
2024-09-24,122,Vice President Harris
2024-09-25,163,Vice President Harris
2024-09-26,112,Vice President Harris
2024-09-27,115,Vice President Harris
2024-09-28,115,Vice President Harris
2024-09-29,132,Vice President Harris
2024-09-30,166,Vice President Harris
2024-10-01,97,Vice President Harris
2024-10-02,84,Vice President Harris
2024-10-03,121,Vice President Harris
2024-10-04,150,Vice President Harris
2024-10-05,0,Vice President Harris
2024-07-21,121,Vice President Kamala Harris
2024-07-22,236,Vice President Kamala Harris
2024-07-23,208,Vice President Kamala Harris
2024-07-24,190.128,Vice President Kamala Harris
2024-07-25,154.52,Vice President Kamala Harris
2024-07-26,128,Vice President Kamala Harris
2024-07-27,110,Vice President Kamala Harris
2024-07-28,93.977,Vice President Kamala Harris
2024-07-29,88,Vice President Kamala Harris
2024-07-30,92,Vice President Kamala Harris
2024-07-31,143,Vice President Kamala Harris
2024-08-01,98,Vice President Kamala Harris
2024-08-02,90,Vice President Kamala Harris
2024-08-03,94,Vice President Kamala Harris
2024-08-04,86,Vice President Kamala Harris
2024-08-05,98,Vice President Kamala Harris
2024-08-06,135.717,Vice President Kamala Harris
2024-08-07,82,Vice President Kamala Harris
2024-08-08,81,Vice President Kamala Harris
2024-08-09,74,Vice President Kamala Harris
2024-08-10,72,Vice President Kamala Harris
2024-08-11,62,Vice President Kamala Harris
2024-08-12,71,Vice President Kamala Harris
2024-08-13,59,Vice President Kamala Harris
2024-08-14,58,Vice President Kamala Harris
2024-08-15,72.92,Vice President Kamala Harris
2024-08-16,81,Vice President Kamala Harris
2024-08-17,119.473,Vice President Kamala Harris
2024-08-18,112.735,Vice President Kamala Harris
2024-08-19,95,Vice President Kamala Harris
2024-08-20,82,Vice President Kamala Harris
2024-08-21,59.674,Vice President Kamala Harris
2024-08-22,98,Vice President Kamala Harris
2024-08-23,80.993,Vice President Kamala Harris
2024-08-24,50,Vice President Kamala Harris
2024-08-25,50,Vice President Kamala Harris
2024-08-26,52,Vice President Kamala Harris
2024-08-27,53,Vice President Kamala Harris
2024-08-28,73.543,Vice President Kamala Harris
2024-08-29,104,Vice President Kamala Harris
2024-08-30,108,Vice President Kamala Harris
2024-08-31,62,Vice President Kamala Harris
2024-09-01,64,Vice President Kamala Harris
2024-09-02,86,Vice President Kamala Harris
2024-09-03,60,Vice President Kamala Harris
2024-09-04,50,Vice President Kamala Harris
2024-09-05,69,Vice President Kamala Harris
2024-09-06,40,Vice President Kamala Harris
2024-09-07,63.655,Vice President Kamala Harris
2024-09-08,66,Vice President Kamala Harris
2024-09-09,97,Vice President Kamala Harris
2024-09-10,105,Vice President Kamala Harris
2024-09-11,99,Vice President Kamala Harris
2024-09-12,67,Vice President Kamala Harris
2024-09-13,70,Vice President Kamala Harris
2024-09-14,56,Vice President Kamala Harris
2024-09-15,49,Vice President Kamala Harris
2024-09-16,66,Vice President Kamala Harris
2024-09-17,54,Vice President Kamala Harris
2024-09-18,59,Vice President Kamala Harris
2024-09-19,51,Vice President Kamala Harris
2024-09-20,71,Vice President Kamala Harris
2024-09-21,77,Vice President Kamala Harris
2024-09-22,45,Vice President Kamala Harris
2024-09-23,55,Vice President Kamala Harris
2024-09-24,51,Vice President Kamala Harris
2024-09-25,72.148,Vice President Kamala Harris
2024-09-26,42,Vice President Kamala Harris
2024-09-27,51,Vice President Kamala Harris
2024-09-28,41,Vice President Kamala Harris
2024-09-29,56,Vice President Kamala Harris
2024-09-30,45,Vice President Kamala Harris
2024-10-01,37,Vice President Kamala Harris
2024-10-02,24,Vice President Kamala Harris
2024-10-03,58,Vice President Kamala Harris
2024-10-04,72,Vice President Kamala Harris
2024-10-05,0,Vice President Kamala Harris
2024-07-21,122.663,Kamala
2024-07-22,229.054,Kamala
2024-07-23,236.868,Kamala
2024-07-24,199.38,Kamala
2024-07-25,256.12,Kamala
2024-07-26,231.907,Kamala
2024-07-27,191.93,Kamala
2024-07-28,108.317,Kamala
2024-07-29,105.599,Kamala
2024-07-30,172.394,Kamala
2024-07-31,168,Kamala
2024-08-01,146.282,Kamala
2024-08-02,151.536,Kamala
2024-08-03,164.579,Kamala
2024-08-04,80.414,Kamala
2024-08-05,195.949,Kamala
2024-08-06,203,Kamala
2024-08-07,159.712,Kamala
2024-08-08,186.213,Kamala
2024-08-09,167.136,Kamala
2024-08-10,113.096,Kamala
2024-08-11,57,Kamala
2024-08-12,89.707,Kamala
2024-08-13,215.648,Kamala
2024-08-14,211.875,Kamala
2024-08-15,294.613,Kamala
2024-08-16,222.435,Kamala
2024-08-17,174,Kamala
2024-08-18,168.296,Kamala
2024-08-19,345.853,Kamala
2024-08-20,483.131,Kamala
2024-08-21,352.044,Kamala
2024-08-22,408.733,Kamala
2024-08-23,342.061,Kamala
2024-08-24,190.157,Kamala
2024-08-25,52,Kamala
2024-08-26,130,Kamala
2024-08-27,172.14,Kamala
2024-08-28,181.676,Kamala
2024-08-29,176.357,Kamala
2024-08-30,158.325,Kamala
2024-08-31,103.086,Kamala
2024-09-01,42,Kamala
2024-09-02,113.75,Kamala
2024-09-03,170.393,Kamala
2024-09-04,175.914,Kamala
2024-09-05,167.665,Kamala
2024-09-06,188.504,Kamala
2024-09-07,129,Kamala
2024-09-08,76.879,Kamala
2024-09-09,169.501,Kamala
2024-09-10,249.675,Kamala
2024-09-11,122,Kamala
2024-09-12,207.916,Kamala
2024-09-13,231.94,Kamala
2024-09-14,141,Kamala
2024-09-15,36,Kamala
2024-09-16,59.144,Kamala
2024-09-17,86.457,Kamala
2024-09-18,83.121,Kamala
2024-09-19,121.063,Kamala
2024-09-20,142.969,Kamala
2024-09-21,127.975,Kamala
2024-09-22,50,Kamala
2024-09-23,104.587,Kamala
2024-09-24,158.566,Kamala
2024-09-25,167.352,Kamala
2024-09-26,119,Kamala
2024-09-27,74.859,Kamala
2024-09-28,89.863,Kamala
2024-09-29,120.365,Kamala
2024-09-30,182.42,Kamala
2024-10-01,102,Kamala
2024-10-02,50.45,Kamala
2024-10-03,113,Kamala
2024-10-04,141.922,Kamala
2024-10-05,1,Kamala
2024-07-21,933.774,Kamala Harris
2024-07-22,1329.724,Kamala Harris
2024-07-23,1153.083,Kamala Harris
2024-07-24,931.721,Kamala Harris
2024-07-25,1030.205,Kamala Harris
2024-07-26,973.09,Kamala Harris
2024-07-27,710.813,Kamala Harris
2024-07-28,915.554,Kamala Harris
2024-07-29,661.771,Kamala Harris
2024-07-30,607.413,Kamala Harris
2024-07-31,783.315,Kamala Harris
2024-08-01,511.061,Kamala Harris
2024-08-02,567.82,Kamala Harris
2024-08-03,558.287,Kamala Harris
2024-08-04,665.7,Kamala Harris
2024-08-05,687.902,Kamala Harris
2024-08-06,1091.349,Kamala Harris
2024-08-07,770.339,Kamala Harris
2024-08-08,738,Kamala Harris
2024-08-09,680.699,Kamala Harris
2024-08-10,455.951,Kamala Harris
2024-08-11,580.953,Kamala Harris
2024-08-12,739.417,Kamala Harris
2024-08-13,813.302,Kamala Harris
2024-08-14,751.647,Kamala Harris
2024-08-15,642.493,Kamala Harris
2024-08-16,695,Kamala Harris
2024-08-17,562.769,Kamala Harris
2024-08-18,737.278,Kamala Harris
2024-08-19,1141.002,Kamala Harris
2024-08-20,1222.79,Kamala Harris
2024-08-21,987.424,Kamala Harris
2024-08-22,1317.685,Kamala Harris
2024-08-23,1014.455,Kamala Harris
2024-08-24,524.608,Kamala Harris
2024-08-25,401.567,Kamala Harris
2024-08-26,561.965,Kamala Harris
2024-08-27,610.841,Kamala Harris
2024-08-28,652.106,Kamala Harris
2024-08-29,756.036,Kamala Harris
2024-08-30,686.003,Kamala Harris
2024-08-31,385,Kamala Harris
2024-09-01,389,Kamala Harris
2024-09-02,458.995,Kamala Harris
2024-09-03,576.017,Kamala Harris
2024-09-04,509.676,Kamala Harris
2024-09-05,573.502,Kamala Harris
2024-09-06,511.738,Kamala Harris
2024-09-07,541.375,Kamala Harris
2024-09-08,659.061,Kamala Harris
2024-09-09,826.015,Kamala Harris
2024-09-10,968.769,Kamala Harris
2024-09-11,1024.593,Kamala Harris
2024-09-12,627.803,Kamala Harris
2024-09-13,699.46,Kamala Harris
2024-09-14,509.387,Kamala Harris
2024-09-15,449.522,Kamala Harris
2024-09-16,321.544,Kamala Harris
2024-09-17,415.915,Kamala Harris
2024-09-18,535.975,Kamala Harris
2024-09-19,614.856,Kamala Harris
2024-09-20,488.838,Kamala Harris
2024-09-21,372.683,Kamala Harris
2024-09-22,451.374,Kamala Harris
2024-09-23,537.477,Kamala Harris
2024-09-24,546.828,Kamala Harris
2024-09-25,514.901,Kamala Harris
2024-09-26,310.494,Kamala Harris
2024-09-27,324.005,Kamala Harris
2024-09-28,314.03,Kamala Harris
2024-09-29,424.586,Kamala Harris
2024-09-30,410,Kamala Harris
2024-10-01,520.271,Kamala Harris
2024-10-02,481.981,Kamala Harris
2024-10-03,483.915,Kamala Harris
2024-10-04,585.766,Kamala Harris
2024-10-05,4,Kamala Harris
2024-07-21,459.123,Harris
2024-07-22,890.282,Harris
2024-07-23,1020.43,Harris
2024-07-24,671.015,Harris
2024-07-25,680.497,Harris
2024-07-26,1035.007,Harris
2024-07-27,950.192,Harris
2024-07-28,870.044,Harris
2024-07-29,739.442,Harris
2024-07-30,790.262,Harris
2024-07-31,795.004,Harris
2024-08-01,495.612,Harris
2024-08-02,573.177,Harris
2024-08-03,704.623,Harris
2024-08-04,688.361,Harris
2024-08-05,779.648,Harris
2024-08-06,932.059,Harris
2024-08-07,901.054,Harris
2024-08-08,985.601,Harris
2024-08-09,929.076,Harris
2024-08-10,769.78,Harris
2024-08-11,708.006,Harris
2024-08-12,888.891,Harris
2024-08-13,835.054,Harris
2024-08-14,969.56,Harris
2024-08-15,1023.563,Harris
2024-08-16,845.903,Harris
2024-08-17,720.225,Harris
2024-08-18,894.054,Harris
2024-08-19,799.267,Harris
2024-08-20,693.597,Harris
2024-08-21,631.207,Harris
2024-08-22,576.949,Harris
2024-08-23,704.617,Harris
2024-08-24,544.439,Harris
2024-08-25,411.724,Harris
2024-08-26,759.915,Harris
2024-08-27,815.531,Harris
2024-08-28,987.367,Harris
2024-08-29,1123.676,Harris
2024-08-30,808.74,Harris
2024-08-31,514.459,Harris
2024-09-01,497.795,Harris
2024-09-02,706.518,Harris
2024-09-03,741.011,Harris
2024-09-04,694.029,Harris
2024-09-05,648.305,Harris
2024-09-06,523.302,Harris
2024-09-07,533.141,Harris
2024-09-08,708,Harris
2024-09-09,1024.095,Harris
2024-09-10,1165.917,Harris
2024-09-11,908.048,Harris
2024-09-12,732.31,Harris
2024-09-13,782.811,Harris
2024-09-14,499.234,Harris
2024-09-15,331,Harris
2024-09-16,330.253,Harris
2024-09-17,386.117,Harris
2024-09-18,528.571,Harris
2024-09-19,848.059,Harris
2024-09-20,622.012,Harris
2024-09-21,502.225,Harris
2024-09-22,569.771,Harris
2024-09-23,876.969,Harris
2024-09-24,661.942,Harris
2024-09-25,585.28,Harris
2024-09-26,338.002,Harris
2024-09-27,380.507,Harris
2024-09-28,351,Harris
2024-09-29,557.586,Harris
2024-09-30,534.401,Harris
2024-10-01,480.462,Harris
2024-10-02,378.533,Harris
2024-10-03,604.656,Harris
2024-10-04,725.101,Harris
2024-10-05,6,Harris